dim_hour,trip_count,dim_year,dim_month
19,4114,2019,12
20,2986,2019,12
21,2518,2019,12
22,1953,2019,12
23,1272,2019,12
0,733,2020,1
1,486,2020,1
2,360,2020,1
3,171,2020,1
4,181,2020,1
5,487,2020,1
6,1570,2020,1
7,4491,2020,1
8,11955,2020,1
9,8691,2020,1
10,4055,2020,1
11,4124,2020,1
12,5029,2020,1
13,4975,2020,1
14,4530,2020,1
15,5389,2020,1
16,8511,2020,1
17,12841,2020,1
18,8224,2020,1
19,5311,2020,1
20,3817,2020,1
21,2892,2020,1
22,1993,2020,1
23,1244,2020,1
0,820,2020,2
1,447,2020,2
2,321,2020,2
3,179,2020,2
4,159,2020,2
5,398,2020,2
6,1307,2020,2
7,3718,2020,2
8,9134,2020,2
9,6900,2020,2
10,3650,2020,2
11,3872,2020,2
12,4756,2020,2
13,4873,2020,2
14,4766,2020,2
15,5594,2020,2
16,8043,2020,2
17,12261,2020,2
18,8334,2020,2
19,5453,2020,2
20,3831,2020,2
21,2896,2020,2
22,2098,2020,2
23,1319,2020,2
0,772,2020,3
1,485,2020,3
2,313,2020,3
3,188,2020,3
4,215,2020,3
5,417,2020,3
6,1340,2020,3
7,3756,2020,3
8,8869,2020,3
9,6189,2020,3
10,3706,2020,3
11,4076,2020,3
12,5150,2020,3
13,5836,2020,3
14,6348,2020,3
15,7325,2020,3
16,9708,2020,3
17,12752,2020,3
18,9986,2020,3
19,6579,2020,3
20,4346,2020,3
21,2964,2020,3
22,2213,2020,3
23,1445,2020,3
0,450,2020,4
1,280,2020,4
2,148,2020,4
3,76,2020,4
4,116,2020,4
5,162,2020,4
6,706,2020,4
7,1708,2020,4
8,2130,2020,4
9,2041,2020,4
10,2699,2020,4
11,3448,2020,4
12,4531,2020,4
13,5436,2020,4
14,6366,2020,4
15,7199,2020,4
16,7416,2020,4
17,8139,2020,4
18,7198,2020,4
19,5394,2020,4
20,2788,2020,4
21,1431,2020,4
22,1040,2020,4
23,832,2020,4
0,1504,2020,5
1,950,2020,5
2,481,2020,5
3,280,2020,5
4,302,2020,5
5,524,2020,5
6,1582,2020,5
7,2945,2020,5
8,4126,2020,5
9,4463,2020,5
10,6574,2020,5
11,9093,2020,5
12,12515,2020,5
13,15124,2020,5
14,17235,2020,5
15,18102,2020,5
16,19106,2020,5
17,20936,2020,5
18,19490,2020,5
19,16683,2020,5
20,11407,2020,5
21,6344,2020,5
22,3698,2020,5
23,2594,2020,5
0,4308,2020,6
1,2564,2020,6
2,1463,2020,6
3,798,2020,6
4,594,2020,6
5,964,2020,6
6,2998,2020,6
7,5966,2020,6
8,8373,2020,6
9,9040,2020,6
10,11213,2020,6
11,14754,2020,6
12,19392,2020,6
13,22594,2020,6
14,24923,2020,6
15,27198,2020,6
16,30084,2020,6
17,36876,2020,6
18,38920,2020,6
19,37297,2020,6
20,30208,2020,6
21,20866,2020,6
22,11767,2020,6
23,7110,2020,6
0,8212,2020,7
1,5131,2020,7
2,3033,2020,7
3,1532,2020,7
4,1048,2020,7
5,1613,2020,7
6,4858,2020,7
7,9370,2020,7
8,13220,2020,7
9,13497,2020,7
10,15641,2020,7
11,18560,2020,7
12,23437,2020,7
13,24868,2020,7
14,25875,2020,7
15,27519,2020,7
16,30379,2020,7
17,39437,2020,7
18,43849,2020,7
19,44096,2020,7
20,40278,2020,7
21,30814,2020,7
22,19509,2020,7
23,12846,2020,7
0,7752,2020,8
1,4994,2020,8
2,3271,2020,8
3,1682,2020,8
4,1114,2020,8
5,1777,2020,8
6,5144,2020,8
7,10697,2020,8
8,15294,2020,8
9,15417,2020,8
10,18429,2020,8
11,23062,2020,8
12,28327,2020,8
13,30179,2020,8
14,31408,2020,8
15,33712,2020,8
16,37407,2020,8
17,44814,2020,8
18,46849,2020,8
19,44688,2020,8
20,36190,2020,8
21,23307,2020,8
22,16757,2020,8
23,11805,2020,8
0,5851,2020,9
1,3526,2020,9
2,2139,2020,9
3,1265,2020,9
4,845,2020,9
5,1635,2020,9
6,4387,2020,9
7,10361,2020,9
8,15784,2020,9
9,13836,2020,9
10,16098,2020,9
11,20264,2020,9
12,25080,2020,9
13,27781,2020,9
14,30409,2020,9
15,32991,2020,9
16,37327,2020,9
17,45448,2020,9
18,45465,2020,9
19,37580,2020,9
20,24559,2020,9
21,16197,2020,9
22,12768,2020,9
23,8905,2020,9
0,2914,2020,10
1,1639,2020,10
2,969,2020,10
3,586,2020,10
4,571,2020,10
5,974,2020,10
6,3162,2020,10
7,7218,2020,10
8,11439,2020,10
9,10725,2020,10
10,11396,2020,10
11,13861,2020,10
12,18012,2020,10
13,19660,2020,10
14,20418,2020,10
15,22672,2020,10
16,25064,2020,10
17,29421,2020,10
18,26547,2020,10
19,18819,2020,10
20,12090,2020,10
21,8273,2020,10
22,6229,2020,10
23,4792,2020,10
0,2028,2020,11
1,1235,2020,11
2,668,2020,11
3,428,2020,11
4,457,2020,11
5,823,2020,11
6,2696,2020,11
7,6272,2020,11
8,9722,2020,11
9,8132,2020,11
10,8248,2020,11
11,10664,2020,11
12,13830,2020,11
13,15779,2020,11
14,16880,2020,11
15,18011,2020,11
16,20373,2020,11
17,20157,2020,11
18,14697,2020,11
19,11229,2020,11
20,7805,2020,11
21,5524,2020,11
22,4138,2020,11
23,3044,2020,11
0,848,2020,12
1,443,2020,12
2,329,2020,12
3,201,2020,12
4,265,2020,12
5,397,2020,12
6,1381,2020,12
7,2951,2020,12
8,4480,2020,12
9,3833,2020,12
10,4089,2020,12
11,5020,2020,12
12,6700,2020,12
13,7113,2020,12
14,7392,2020,12
15,8137,2020,12
